Aasta;Kategooria;Lavastuse liik / žanr;Lavastused;..uuslavastused;Etendused;..külalisetendused;Vaatajad, tuhat;Teatriskäigud 1000 elaniku kohta;Keskmine piletihind, eurot
;Riigi- ja linnateatrid;Muu lavastus;4;3;17;0;1,30;1;10,19
;Riigi- ja linnateatrid;Muusikalavastus;32;12;265;10;117,80;87,90;12,68
;Riigi- ja linnateatrid;Sõnalavastus;163;57;2 134;250;398,80;297,60;8,90
;Riigi- ja linnateatrid;Tantsulavastus;15;5;107;12;34,60;25,90;8,74
;Teatrid kokku;..draama;140;58;1 717;197;263,70;196,70;9,23
;Teatrid kokku;..klassikaline tants;10;3;67;2;29,60;22,10;9,02
;Teatrid kokku;..komöödia;61;19;869;326;183,50;136,90;8,09
;Teatrid kokku;..muu lastelavastus;9;7;80;65;11,20;8,40;2,84
;Teatrid kokku;..muu muusikalavastus;11;7;104;10;27,40;20,40;9,40
;Teatrid kokku;..muu sõnalavastus;8;2;98;26;19,10;14,20;8,69
;Teatrid kokku;..muu tantsulavastus;4;1;18;9;2,30;1,70;8,81
;Teatrid kokku;..muusikal;4;2;29;0;23,80;17,70;16
;Teatrid kokku;..muusikalavastus lastele;5;1;96;15;37,90;28,30;8,08
;Teatrid kokku;..nukulavastus lastele;40;7;683;237;50;37,30;3,44
;Teatrid kokku;..nüüdistants;27;13;157;74;14,80;11;6,15
;Teatrid kokku;..ooper;20;6;119;2;42,10;31,40;10,54
;Teatrid kokku;..operett;3;0;56;0;29;21,70;15,33
;Teatrid kokku;..sõnalavastus lastele;32;16;417;106;99,60;74,30;5,18
;Teatrid kokku;..tantsulavastus lastele;6;1;51;6;19,30;14,40;7,05
;Teatrid kokku;..tragikomöödia;10;2;115;37;16,50;12,30;7,85
;Teatrid kokku;Kokku;401;153;4 731;1 125;873,80;652;8,42
;Teatrid kokku;Lastelavastus;92;32;1 327;429;218;162,70;5,39
;Teatrid kokku;Muu lavastus;11;8;55;13;4;3;9,29
;Teatrid kokku;Muusikalavastus;38;15;308;12;122,30;91,20;12,55
;Teatrid kokku;Sõnalavastus;219;81;2 799;586;482,80;360,20;8,72
;Teatrid kokku;Tantsulavastus;41;17;242;85;46,70;34,80;8,58
2010;Muud teatrid;..draama;46;26;493;100;41,80;31,20;8,14
;Muud teatrid;..klassikaline tants;0;0;0;0;0;0;0
;Muud teatrid;..komöödia;16;5;160;150;25;18,60;7,93
;Muud teatrid;..muu lastelavastus;5;3;142;125;10,80;8;1,47
;Muud teatrid;..muu muusikalavastus;7;2;31;7;13,70;10,20;13,60
;Muud teatrid;..muu sõnalavastus;5;3;50;33;7,70;5,70;8,67
;Muud teatrid;..muu tantsulavastus;1;0;2;2;0,30;0,20;0
;Muud teatrid;..muusikal;1;1;3;0;0,10;0,10;4,77
;Muud teatrid;..muusikalavastus lastele;0;0;0;0;0;0;0
;Muud teatrid;..nukulavastus lastele;6;1;166;163;14,30;10,60;1,84
;Muud teatrid;..nüüdistants;29;19;123;62;16,20;12,10;5,22
;Muud teatrid;..ooper;0;0;0;0;0;0;0
;Muud teatrid;..operett;0;0;0;0;0;0;0
;Muud teatrid;..sõnalavastus lastele;8;4;95;72;10,30;7,70;3,51
;Muud teatrid;..tantsulavastus lastele;3;2;27;6;1;0,70;2,70
;Muud teatrid;..tragikomöödia;3;0;13;10;1,50;1,10;8,35
;Muud teatrid;Kokku;138;70;1 346;742;146,10;109;6,58
;Muud teatrid;Lastelavastus;22;10;430;366;36,30;27,10;2,21
;Muud teatrid;Muu lavastus;8;4;41;12;3,40;2,60;4,46
;Muud teatrid;Muusikalavastus;8;3;34;7;13,80;10,30;13,56
;Muud teatrid;Sõnalavastus;70;34;716;293;76;56,70;8,11
;Muud teatrid;Tantsulavastus;30;19;125;64;16,50;12,30;5,22
;Riigi- ja linnateatrid;..draama;111;41;1 272;137;199,50;148,80;8,90
;Riigi- ja linnateatrid;..klassikaline tants;10;3;76;5;29,30;21,80;8,57
;Riigi- ja linnateatrid;..komöödia;47;17;620;97;150,60;112,40;8,40
;Riigi- ja linnateatrid;..muu lastelavastus;1;0;5;0;2,60;2;4,04
;Riigi- ja linnateatrid;..muu muusikalavastus;2;0;20;1;4,90;3,70;7,29
;Riigi- ja linnateatrid;..muu sõnalavastus;8;4;67;5;6,20;4,60;7,25
;Riigi- ja linnateatrid;..muu tantsulavastus;0;0;0;0;0;0;0
;Riigi- ja linnateatrid;..muusikal;6;2;109;9;66,90;49,90;12,29
;Riigi- ja linnateatrid;..muusikalavastus lastele;5;3;103;23;41,40;30,90;8,35
;Riigi- ja linnateatrid;..nukulavastus lastele;17;3;239;45;27,70;20,70;3,10
;Riigi- ja linnateatrid;..nüüdistants;1;1;11;0;1;0,70;3,60
